date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:38	94444/94444	---MCZ	200	added ('OK')	text/html	etag:W/%225f2a9ce9-170ec%22	https://www.gob.pe/coronavirus	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/coronavirus.html	(from )
08:54:38	282/282	---M--	200	added ('OK')	text/plain	etag:%225f29e25d-11a%22	https://www.gob.pe/robots.txt		(from )
08:54:39	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	https://www.google-analytics.com/analytics.js	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.google-analytics.com/analytics.js	(from https://www.gob.pe/coronavirus)
08:54:39	138695/138695	---M-Z	200	added ('OK')	text/css	etag:%225f29e306-6cef%22	https://www.gob.pe/packs/css/application_base-326fed75.css	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/packs/css/application_base-326fed75.css	(from https://www.gob.pe/coronavirus)
08:54:40	895/895	---M-Z	200	added ('OK')	text/css	etag:%225f29e306-163%22	https://www.gob.pe/packs/css/application_print-95a2be2e.css	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/packs/css/application_print-95a2be2e.css	(from https://www.gob.pe/coronavirus)
08:54:40	61943/61943	---M-Z	200	added ('OK')	text/css	etag:%225f29e2d4-185f%22	https://www.gob.pe/assets/application-015b5b6ed878edd595c825d5c44687be85b80df9c0513b03578ff806326019d2.css	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/application-015b5b6ed878edd595c825d5c44687be85b80df9c0513b03578ff806326019d2.css	(from https://www.gob.pe/coronavirus)
08:54:41	273901/273901	---M-Z	200	added ('OK')	application/javascript	etag:%225f29e2d4-13aec%22	https://www.gob.pe/assets/application-8e3ed23ea0d0cef880d1db7a87ea0324ffc7e96529f24a7a3df338fa0193b999.js	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/assets/application-8e3ed23ea0d0cef880d1db7a87ea0324ffc7e96529f24a7a3df338fa0193b999.js	(from https://www.gob.pe/coronavirus)
08:54:41	324184/324184	---M-Z	200	added ('OK')	application/javascript	etag:%225f29e306-177cc%22	https://www.gob.pe/packs/js/application_base-7b945721013808973991.js	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/packs/js/application_base-7b945721013808973991.js	(from https://www.gob.pe/coronavirus)
08:54:41	10368/10368	---M-Z	200	added ('OK')	text/css	etag:%225f29e306-9d9%22	https://www.gob.pe/packs/css/application_coronavirus-c5ab0f05.css	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/packs/css/application_coronavirus-c5ab0f05.css	(from https://www.gob.pe/coronavirus)
08:54:41	449047/449047	---M-Z	200	added ('OK')	application/javascript	etag:%225f29e306-1ef9e%22	https://www.gob.pe/packs/js/application_coronavirus-c0d0d9135f067e487689.js	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/packs/js/application_coronavirus-c0d0d9135f067e487689.js	(from https://www.gob.pe/coronavirus)
